1,5.1,3.5,1.4,0.2,1,0,0
143,5.8,2.7,5.1,1.9,0,0,1
2,4.9,3.0,1.4,0.2,1,0,0
29,5.2,3.4,1.4,0.2,1,0,0
79,6.0,2.9,4.5,1.5,0,1,0
15,5.8,4.0,1.2,0.2,1,0,0
38,4.9,3.1,1.5,0.1,1,0,0
148,6.5,3.0,5.2,2.0,0,0,1
42,4.5,2.3,1.3,0.3,1,0,0
63,6.0,2.2,4.0,1.0,0,1,0
134,6.3,2.8,5.1,1.5,0,0,1
32,5.4,3.4,1.5,0.4,1,0,0
88,6.3,2.3,4.4,1.3,0,1,0
71,5.9,3.2,4.8,1.8,0,1,0
106,7.6,3.0,6.6,2.1,0,0,1
41,5.0,3.5,1.3,0.3,1,0,0
150,5.9,3.0,5.1,1.8,0,0,1
17,5.4,3.9,1.3,0.4,1,0,0
128,6.1,3.0,4.9,1.8,0,0,1
30,4.7,3.2,1.6,0.2,1,0,0
110,7.2,3.6,6.1,2.5,0,0,1
125,6.7,3.3,5.7,2.1,0,0,1
100,5.7,2.8,4.1,1.3,0,1,0
117,6.5,3.0,5.5,1.8,0,0,1
40,5.1,3.4,1.5,0.2,1,0,0
116,6.4,3.2,5.3,2.3,0,0,1
28,5.2,3.5,1.5,0.2,1,0,0
70,5.6,2.5,3.9,1.1,0,1,0
114,5.7,2.5,5.0,2.0,0,0,1
91,5.5,2.6,4.4,1.2,0,1,0
98,6.2,2.9,4.3,1.3,0,1,0
144,6.8,3.2,5.9,2.3,0,0,1
66,6.7,3.1,4.4,1.4,0,1,0
7,4.6,3.4,1.4,0.3,1,0,0
113,6.8,3.0,5.5,2.1,0,0,1
59,6.6,2.9,4.6,1.3,0,1,0
10,4.9,3.1,1.5,0.1,1,0,0
126,7.2,3.2,6.0,1.8,0,0,1
56,5.7,2.8,4.5,1.3,0,1,0
55,6.5,2.8,4.6,1.5,0,1,0
