92,6.1,3.0,4.6,1.4,0,1,0
9,4.4,2.9,1.4,0.2,1,0,0
35,4.9,3.1,1.5,0.1,1,0,0
101,6.3,3.3,6.0,2.5,0,0,1
68,5.8,2.7,4.1,1.0,0,1,0
49,5.3,3.7,1.5,0.2,1,0,0
37,5.5,3.5,1.3,0.2,1,0,0
89,5.6,3.0,4.1,1.3,0,1,0
44,5.0,3.5,1.6,0.6,1,0,0
60,5.2,2.7,3.9,1.4,0,1,0
115,5.8,2.8,5.1,2.4,0,0,1
23,4.6,3.6,1.0,0.2,1,0,0
136,7.7,3.0,6.1,2.3,0,0,1
13,4.8,3.0,1.4,0.1,1,0,0
45,5.1,3.8,1.9,0.4,1,0,0
85,5.4,3.0,4.5,1.5,0,1,0
46,4.8,3.0,1.4,0.3,1,0,0
94,5.0,2.3,3.3,1.0,0,1,0
132,7.9,3.8,6.4,2.0,0,0,1
93,5.8,2.6,4.0,1.2,0,1,0
74,6.1,2.8,4.7,1.2,0,1,0
102,5.8,2.7,5.1,1.9,0,0,1
50,5.0,3.3,1.4,0.2,1,0,0
33,5.2,4.1,1.5,0.1,1,0,0
90,5.5,2.5,4.0,1.3,0,1,0
146,6.7,3.0,5.2,2.3,0,0,1
3,4.7,3.2,1.3,0.2,1,0,0
31,4.8,3.1,1.6,0.2,1,0,0
127,6.2,2.8,4.8,1.8,0,0,1
12,4.8,3.4,1.6,0.2,1,0,0
57,6.3,3.3,4.7,1.6,0,1,0
95,5.6,2.7,4.2,1.3,0,1,0
53,6.9,3.1,4.9,1.5,0,1,0
118,7.7,3.8,6.7,2.2,0,0,1
131,7.4,2.8,6.1,1.9,0,0,1
104,6.3,2.9,5.6,1.8,0,0,1
107,4.9,2.5,4.5,1.7,0,0,1
5,5.0,3.6,1.4,0.2,1,0,0
130,7.2,3.0,5.8,1.6,0,0,1
67,5.6,3.0,4.5,1.5,0,1,0
